code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust,signature,stability
R157-196-408,dbp_delta <= q0.35 (-8.606) AND glucose_lab_std <= q0.35 (0) AND platelets_slope <= q0.35 (-0.07924),3,"dbp_delta,glucose_lab_std,platelets_slope","perfusion,other,organ_failure",3,1560,0.123271434215725,0.1544871794871795,0.48333333333333334,-0.32884615384615384,-0.3594503904309292,-0.2982419172613785,1.834917058270265e-98,150.66523564103707,8.40846153846154,8.1,5.321259468983768e-95,-32.88461538461539,-35.94503904309292,-29.82419172613785,32.88461538461539,True,benefit | dbp <= ; glucose_lab <= ; platelets <=,1.0
R157-196-261,dbp_delta <= q0.35 (-8.606) AND glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063),3,"dbp_delta,glucose_lab_std,hemoglobin_slope","perfusion,other,anemia",3,1501,0.11860924535756617,0.16522318454363757,0.4943371085942705,-0.3291139240506329,-0.36062196267427266,-0.2976058854269931,3.750126117640493e-93,147.90899699614306,8.127714856762159,8.0,5.437682870578715e-90,-32.91139240506329,-36.06219626742727,-29.760588542699313,32.91139240506329,True,benefit | dbp <= ; glucose_lab <= ; hemoglobin <=,1.0
R195-261-352,glucose_lab_std <= q0.20 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND mbp_median > q0.65 (89),3,"glucose_lab_std,hemoglobin_slope,mbp_median","other,anemia,perfusion",3,1461,0.11544843935203476,0.17385352498288842,0.4996577686516085,-0.3258042436687201,-0.3579759542881571,-0.29363253304928305,1.124135855061826e-87,144.45741330010716,8.09883641341547,7.9,1.0866646598930983e-84,-32.58042436687201,-35.79759542881571,-29.363253304928307,32.58042436687201,True,benefit | glucose_lab <= ; hemoglobin <= ; mbp >,1.0
R171-196-261,dbp_median > q0.65 (72) AND glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063),3,"dbp_median,glucose_lab_std,hemoglobin_slope","perfusion,other,anemia",3,1435,0.11339391544843935,0.17491289198606272,0.4989547038327526,-0.3240418118466899,-0.35653205976608054,-0.29155156392729925,4.283443558550001e-85,142.39180378087823,8.07205574912892,7.9,2.4843972639590008e-82,-32.40418118466899,-35.65320597660806,-29.155156392729925,32.40418118466899,True,benefit | dbp > ; glucose_lab <= ; hemoglobin <=,1.0
R195-352-408,glucose_lab_std <= q0.20 (0) AND mbp_median > q0.65 (89) AND platelets_slope <= q0.35 (-0.07924),3,"glucose_lab_std,mbp_median,platelets_slope","other,perfusion,organ_failure",3,1478,0.11679178190438562,0.17185385656292287,0.4884979702300406,-0.31664411366711775,-0.34857168624031276,-0.28471654109392275,3.6504182806185323e-84,141.21038115380244,8.427401894451963,8.0,1.7643688356322907e-81,-31.664411366711775,-34.857168624031274,-28.471654109392276,31.664411366711775,True,benefit | glucose_lab <= ; mbp > ; platelets <=,1.0
R195-284-408,glucose_lab_std <= q0.20 (0) AND lactate_slope > q0.65 (0.0002952) AND platelets_slope <= q0.35 (-0.07924),3,"glucose_lab_std,lactate_slope,platelets_slope","other,perfusion,organ_failure",3,1626,0.12848676412485183,0.17404674046740468,0.4747847478474785,-0.30073800738007384,-0.33121398402912594,-0.27026203073102173,2.410860774135952e-83,140.6716487694933,8.39680196801968,8.1,8.739370306242827e-81,-30.073800738007385,-33.1213984029126,-27.026203073102174,30.073800738007385,True,benefit | glucose_lab <= ; lactate > ; platelets <=,1.0
R171-195-408,dbp_median > q0.65 (72) AND glucose_lab_std <= q0.20 (0) AND platelets_slope <= q0.35 (-0.07924),3,"dbp_median,glucose_lab_std,platelets_slope","perfusion,other,organ_failure",3,1454,0.11489529830106678,0.17262723521320494,0.48762035763411277,-0.3149931224209078,-0.34720305681862024,-0.2827831880231954,6.904584348579838e-82,139.32891783565415,8.401375515818431,8.0,2.2248105123201698e-79,-31.49931224209078,-34.72030568186202,-28.27831880231954,31.49931224209078,True,benefit | dbp > ; glucose_lab <= ; platelets <=,1.0
R196-261-284,glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND lactate_slope > q0.65 (0.0002952),3,"glucose_lab_std,hemoglobin_slope,lactate_slope","other,anemia,perfusion",3,1529,0.12082180956143816,0.17920209287115763,0.4833224329627207,-0.3041203400915631,-0.33569538232164225,-0.2725452978614839,1.727844323053345e-79,137.94539255685612,8.093394375408765,7.9,3.579106097753358e-77,-30.412034009156308,-33.56953823216423,-27.25452978614839,30.412034009156308,True,benefit | glucose_lab <= ; hemoglobin <= ; lactate >,1.0
R196-408-473,glucose_lab_std <= q0.35 (0) AND platelets_slope <= q0.35 (-0.07924) AND resp_rate_max <= q0.35 (20),3,"glucose_lab_std,platelets_slope,resp_rate_max","other,organ_failure,respiratory",3,1443,0.11402607664954563,0.1683991683991684,0.4802494802494803,-0.31185031185031187,-0.3440580847251331,-0.27964253897549063,2.6120185471392404e-80,137.4160110145833,8.414760914760915,8.0,6.312378155586497e-78,-31.185031185031185,-34.405808472513314,-27.964253897549064,31.185031185031185,True,benefit | glucose_lab <= ; platelets <= ; resp_rate <=,1.0
R196-261-473,glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND resp_rate_max <= q0.35 (20),3,"glucose_lab_std,hemoglobin_slope,resp_rate_max","other,anemia,respiratory",3,1367,0.10802054523903595,0.16825164594001463,0.4879297732260424,-0.3196781272860278,-0.35277532689580093,-0.28658092767625465,6.312912934384046e-80,137.10559218691503,8.101389904901243,7.9,1.4082651930549027e-77,-31.96781272860278,-35.27753268958009,-28.658092767625465,31.96781272860278,True,benefit | glucose_lab <= ; hemoglobin <= ; resp_rate <=,1.0
R195-232-408,glucose_lab_std <= q0.20 (0) AND heart_rate_median <= q0.20 (70) AND platelets_slope <= q0.35 (-0.07924),3,"glucose_lab_std,heart_rate_median,platelets_slope","other,perfusion,organ_failure",3,1495,0.11813512445673646,0.1806020066889632,0.4836120401337793,-0.3030100334448161,-0.33497852917907456,-0.2710415377105576,4.873454292931504e-77,135.90505007339317,8.367023411371237,8.0,6.144790195435375e-75,-30.301003344481607,-33.49785291790746,-27.10415377105576,30.301003344481607,True,benefit | glucose_lab <= ; heart_rate <= ; platelets <=,1.0
R195-232-261,glucose_lab_std <= q0.20 (0) AND heart_rate_median <= q0.20 (70) AND hemoglobin_slope <= q0.35 (-0.006063),3,"glucose_lab_std,heart_rate_median,hemoglobin_slope","other,perfusion,anemia",3,1471,0.11623864085341762,0.1876274643099932,0.4928619986403807,-0.3052345343303875,-0.33765086490556584,-0.27281820375520915,4.709596782510183e-76,135.79944463742893,8.052957171991844,7.9,5.058455803436863e-74,-30.52345343303875,-33.765086490556584,-27.281820375520915,30.52345343303875,True,benefit | glucose_lab <= ; heart_rate <= ; hemoglobin <=,1.0
R196-284-473,glucose_lab_std <= q0.35 (0) AND lactate_slope > q0.65 (0.0002952) AND resp_rate_max <= q0.35 (20),3,"glucose_lab_std,lactate_slope,resp_rate_max","other,perfusion,respiratory",3,1590,0.12564203871987356,0.18553459119496854,0.47735849056603774,-0.29182389937106923,-0.322934784582725,-0.26071301415941345,1.7311468069924969e-75,134.98248141632374,9.051949685534591,8.3,1.7311468069924967e-73,-29.182389937106922,-32.2934784582725,-26.071301415941345,29.182389937106922,True,benefit | glucose_lab <= ; lactate > ; resp_rate <=,1.0
R157-196-284,dbp_delta <= q0.35 (-8.606) AND glucose_lab_std <= q0.35 (0) AND lactate_slope > q0.65 (0.0002952),3,"dbp_delta,glucose_lab_std,lactate_slope","perfusion,other,perfusion",2,1759,0.13899644409324377,0.18362706083001706,0.480955088118249,-0.29732802728823193,-0.32686773874604585,-0.267788315830418,1.2368838904366166e-86,134.6767180949119,8.959295054007958,8.3,8.96740820566547e-84,-29.732802728823195,-32.68677387460458,-26.7788315830418,29.732802728823195,True,benefit | dbp <= ; glucose_lab <= ; lactate >,1.0
R195-284,glucose_lab_std <= q0.20 (0) AND lactate_slope > q0.65 (0.0002952),2,"glucose_lab_std,lactate_slope","other,perfusion",2,2164,0.1709996048992493,0.20055452865064696,0.466728280961183,-0.2661737523105361,-0.29312685310182274,-0.23922065151924946,1.819183693685539e-83,133.7265408452359,9.088308687615527,8.3,7.536618159554376e-81,-26.617375231053607,-29.312685310182275,-23.922065151924947,26.617375231053607,True,benefit | glucose_lab <= ; lactate >,1.0
R196-261-408,glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND platelets_slope <= q0.35 (-0.07924),3,"glucose_lab_std,hemoglobin_slope,platelets_slope","other,anemia,organ_failure",3,1631,0.12888186487554326,0.19190680564071122,0.47455548743102394,-0.2826486817903127,-0.3135126238900342,-0.25178473969059123,4.845014005859223e-72,132.41339906748775,8.110852237890864,7.9,3.4269611260955485e-70,-28.26486817903127,-31.35126238900342,-25.178473969059123,28.26486817903127,True,benefit | glucose_lab <= ; hemoglobin <= ; platelets <=,1.0
R352-408-491,mbp_median > q0.65 (89) AND platelets_slope <= q0.35 (-0.07924) AND resp_rate_std <= q0.35 (1.78),3,"mbp_median,platelets_slope,resp_rate_std","perfusion,organ_failure,respiratory",3,1506,0.11900434610825761,0.1952191235059761,0.48738379814077026,-0.2921646746347942,-0.3243838052679893,-0.259945544001599,1.1363867465882473e-70,131.52193198207468,8.675564409030546,8.2,6.102817713159106e-69,-29.216467463479418,-32.43838052679893,-25.994554400159902,29.216467463479418,True,benefit | mbp > ; platelets <= ; resp_rate <=,1.0
R195-408,glucose_lab_std <= q0.20 (0) AND platelets_slope <= q0.35 (-0.07924),2,"glucose_lab_std,platelets_slope","other,organ_failure",2,1951,0.15416831291979455,0.1875961045617632,0.4618144541260892,-0.274218349564326,-0.30231601264786795,-0.24612068648078406,1.4604007266773523e-81,130.81239672467171,8.424961558175294,8.1,4.235162107364322e-79,-27.4218349564326,-30.231601264786796,-24.612068648078406,27.4218349564326,True,benefit | glucose_lab <= ; platelets <=,1.0
R171-261-491,dbp_median > q0.65 (72) AND hemoglobin_slope <= q0.35 (-0.006063) AND resp_rate_std <= q0.35 (1.78),3,"dbp_median,hemoglobin_slope,resp_rate_std","perfusion,anemia,respiratory",3,1454,0.11489529830106678,0.20426409903713894,0.5,-0.29573590096286106,-0.3287505774506909,-0.2627212244750312,5.247834534007206e-69,130.81099272779758,8.264511691884456,8.1,2.3779250232220153e-67,-29.573590096286107,-32.87505774506909,-26.272122447503122,29.573590096286107,True,benefit | dbp > ; hemoglobin <= ; resp_rate <=,1.0
R157-261-556,dbp_delta <= q0.35 (-8.606) AND hemoglobin_slope <= q0.35 (-0.006063) AND sodium_std <= q0.35 (0.2074),3,"dbp_delta,hemoglobin_slope,sodium_std","perfusion,anemia,other",3,1127,0.08905570920584749,0.1774622892635315,0.5128660159716061,-0.3354037267080746,-0.37213484432836225,-0.298672609087787,1.2356922457555951e-71,130.61342896535166,8.118899733806566,7.9,8.2379483050373e-70,-33.540372670807464,-37.213484432836225,-29.867260908778697,33.540372670807464,True,benefit | dbp <= ; hemoglobin <= ; sodium <=,1.0
R196-233-284,glucose_lab_std <= q0.35 (0) AND heart_rate_median <= q0.35 (70) AND lactate_slope > q0.65 (0.0002952),3,"glucose_lab_std,heart_rate_median,lactate_slope","other,perfusion,perfusion",2,1703,0.1345713156854998,0.19553728714034058,0.4867880211391662,-0.2912507339988256,-0.3215557264364563,-0.26094574156119493,3.765322639074889e-79,129.80699851840436,9.016030534351145,8.2,6.4231974431277516e-77,-29.125073399882563,-32.15557264364563,-26.094574156119492,29.125073399882563,True,benefit | glucose_lab <= ; heart_rate <= ; lactate >,1.0
R171-261-556,dbp_median > q0.65 (72) AND hemoglobin_slope <= q0.35 (-0.006063) AND sodium_std <= q0.35 (0.2074),3,"dbp_median,hemoglobin_slope,sodium_std","perfusion,anemia,other",3,1112,0.08787040695377321,0.18255395683453238,0.5179856115107914,-0.335431654676259,-0.3725542354137432,-0.2983090739387748,3.502101802430167e-70,129.75210953220588,8.10089928057554,7.9,1.8135884334013362e-68,-33.543165467625904,-37.25542354137432,-29.83090739387748,33.543165467625904,True,benefit | dbp > ; hemoglobin <= ; sodium <=,1.0
R171-408-491,dbp_median > q0.65 (72) AND platelets_slope <= q0.35 (-0.07924) AND resp_rate_std <= q0.35 (1.78),3,"dbp_median,platelets_slope,resp_rate_std","perfusion,organ_failure,respiratory",3,1487,0.11750296325563019,0.19905850706119704,0.48890383322125086,-0.2898453261600538,-0.322363589555988,-0.25732706276411965,2.4213193144078065e-68,129.65216556220622,8.65917955615333,8.2,1.003118001683234e-66,-28.98453261600538,-32.236358955598796,-25.732706276411964,28.98453261600538,True,benefit | dbp > ; platelets <= ; resp_rate <=,1.0
R196-284-352,glucose_lab_std <= q0.35 (0) AND lactate_slope > q0.65 (0.0002952) AND mbp_median > q0.65 (89),3,"glucose_lab_std,lactate_slope,mbp_median","other,perfusion,perfusion",2,1675,0.13235875148162782,0.191044776119403,0.4823880597014925,-0.2913432835820895,-0.32179182002114315,-0.26089474714303584,1.794542471785281e-78,128.7763679070942,8.995044776119403,8.2,2.891207315654064e-76,-29.13432835820895,-32.17918200211432,-26.089474714303584,29.13432835820895,True,benefit | glucose_lab <= ; lactate > ; mbp >,1.0
R171-261-408,dbp_median > q0.65 (72) AND hemoglobin_slope <= q0.35 (-0.006063) AND platelets_slope <= q0.35 (-0.07924),3,"dbp_median,hemoglobin_slope,platelets_slope","perfusion,anemia,organ_failure",3,1837,0.14516001580403004,0.22427871529667937,0.48285247686445293,-0.25857376156777356,-0.2883398926201307,-0.22880763051541642,5.2490747946726225e-65,128.55738230209036,8.260642351660316,8.1,1.6023491478474323e-63,-25.857376156777356,-28.83398926201307,-22.880763051541642,25.857376156777356,True,benefit | dbp > ; hemoglobin <= ; platelets <=,1.0
R157-261-473,dbp_delta <= q0.35 (-8.606) AND hemoglobin_slope <= q0.35 (-0.006063) AND resp_rate_max <= q0.35 (20),3,"dbp_delta,hemoglobin_slope,resp_rate_max","perfusion,anemia,respiratory",3,1525,0.12050572896088503,0.2039344262295082,0.48721311475409834,-0.28327868852459015,-0.31550165263603314,-0.25105572441314716,1.5608126015314412e-66,128.32368254394564,8.314950819672132,8.1,5.356634963835715e-65,-28.327868852459016,-31.550165263603315,-25.105572441314717,28.327868852459016,True,benefit | dbp <= ; hemoglobin <= ; resp_rate <=,1.0
R157-408-556,dbp_delta <= q0.35 (-8.606) AND platelets_slope <= q0.35 (-0.07924) AND sodium_std <= q0.35 (0.2074),3,"dbp_delta,platelets_slope,sodium_std","perfusion,organ_failure,other",3,1156,0.09134729355985777,0.1704152249134948,0.49567474048442905,-0.32525951557093424,-0.36132258525193894,-0.28919644588992954,6.239233043814129e-70,128.28235294117644,8.472577854671279,8.0,3.1196165219070643e-68,-32.52595155709342,-36.1322585251939,-28.919644588992956,32.52595155709342,True,benefit | dbp <= ; platelets <= ; sodium <=,1.0
R171-195-284,dbp_median > q0.65 (72) AND glucose_lab_std <= q0.20 (0) AND lactate_slope > q0.65 (0.0002952),3,"dbp_median,glucose_lab_std,lactate_slope","perfusion,other,perfusion",2,1645,0.12998814697747926,0.1890577507598784,0.48145896656534953,-0.2924012158054711,-0.3230780187309965,-0.26172441287994574,6.927110689142278e-78,128.08134535269227,9.004620060790273,8.2,9.566009999291717e-76,-29.24012158054711,-32.30780187309965,-26.172441287994573,29.24012158054711,True,benefit | dbp > ; glucose_lab <= ; lactate >,1.0
R157-408-473,dbp_delta <= q0.35 (-8.606) AND platelets_slope <= q0.35 (-0.07924) AND resp_rate_max <= q0.35 (20),3,"dbp_delta,platelets_slope,resp_rate_max","perfusion,organ_failure,respiratory",3,1584,0.12516791781904385,0.19507575757575757,0.4722222222222222,-0.27714646464646464,-0.3085352822696922,-0.2457576470232371,4.256919337964546e-67,127.95136426065027,8.667992424242422,8.2,1.5528385006411553e-65,-27.714646464646464,-30.853528226969217,-24.57576470232371,27.714646464646464,True,benefit | dbp <= ; platelets <= ; resp_rate <=,1.0
R157-261-427,dbp_delta <= q0.35 (-8.606) AND hemoglobin_slope <= q0.35 (-0.006063) AND potassium_std <= q0.35 (0.04242),3,"dbp_delta,hemoglobin_slope,potassium_std","perfusion,anemia,other",3,1128,0.08913472935598578,0.18262411347517732,0.5097517730496454,-0.32712765957446804,-0.3639986259999394,-0.2902566931489967,9.897580741971754e-68,127.44705534022201,8.120301418439716,7.9,3.7767084410155373e-66,-32.712765957446805,-36.39986259999394,-29.025669314899673,32.712765957446805,True,benefit | dbp <= ; hemoglobin <= ; potassium <=,1.0
R352-408-556,mbp_median > q0.65 (89) AND platelets_slope <= q0.35 (-0.07924) AND sodium_std <= q0.35 (0.2074),3,"mbp_median,platelets_slope,sodium_std","perfusion,organ_failure,other",3,1147,0.0906361122086132,0.1822144725370532,0.5047951176983435,-0.3225806451612903,-0.35913633825435587,-0.28602495206822476,5.0641189140289175e-67,126.72958256371791,8.526591107236268,8.0,1.8243409752402314e-65,-32.25806451612903,-35.91363382543559,-28.602495206822475,32.25806451612903,True,benefit | mbp > ; platelets <= ; sodium <=,1.0
R195-261,glucose_lab_std <= q0.20 (0) AND hemoglobin_slope <= q0.35 (-0.006063),2,"glucose_lab_std,hemoglobin_slope","other,anemia",2,1871,0.14784670090873173,0.20309994655264565,0.4740780331373597,-0.270978086584714,-0.300033986370789,-0.24192218679863903,1.2130950005071495e-74,126.58866536051009,8.105398182789953,7.9,1.1726585004902445e-72,-27.0978086584714,-30.0033986370789,-24.192218679863903,27.0978086584714,True,benefit | glucose_lab <= ; hemoglobin <=,1.0
R171-408-556,dbp_median > q0.65 (72) AND platelets_slope <= q0.35 (-0.07924) AND sodium_std <= q0.35 (0.2074),3,"dbp_median,platelets_slope,sodium_std","perfusion,organ_failure,other",3,1138,0.08992493085736863,0.1827768014059754,0.5035149384885764,-0.320738137082601,-0.35745500595528,-0.284021268209922,1.0265110977355036e-65,125.51040259647684,8.519947275922672,8.0,3.344811442059506e-64,-32.073813708260104,-35.745500595528,-28.4021268209922,32.073813708260104,True,benefit | dbp > ; platelets <= ; sodium <=,1.0
R196-261-606,glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND spo2_std <= q0.35 (0.8245),3,"glucose_lab_std,hemoglobin_slope,spo2_std","other,anemia,respiratory",3,1033,0.08162781509284868,0.18393030009680542,0.5198451113262342,-0.3359148112294288,-0.37446942062594796,-0.2973602018329096,2.2054590024489623e-65,125.23834021043268,8.01403678606002,7.9,6.877237749572032e-64,-33.59148112294288,-37.44694206259479,-29.73602018329096,33.59148112294288,True,benefit | glucose_lab <= ; hemoglobin <= ; spo2 <=,1.0
R352-408,mbp_median > q0.65 (89) AND platelets_slope <= q0.35 (-0.07924),2,"mbp_median,platelets_slope","perfusion,organ_failure",2,2148,0.16973528249703673,0.2206703910614525,0.47067039106145253,-0.25,-0.27744347838879,-0.22255652161120998,2.648516491305321e-71,125.13560644356986,8.71792364990689,8.3,1.6169890157443012e-69,-25.0,-27.744347838879,-22.255652161121,25.0,True,benefit | mbp > ; platelets <=,1.0
R157-261-352,dbp_delta <= q0.35 (-8.606) AND hemoglobin_slope <= q0.35 (-0.006063) AND mbp_median > q0.65 (89),3,"dbp_delta,hemoglobin_slope,mbp_median","perfusion,anemia,perfusion",2,1811,0.14310549190043462,0.21866372170071782,0.49088901159580345,-0.27222528989508565,-0.3021009578799565,-0.24234962191021478,2.4424144410450916e-71,125.1155961580644,8.336609607951408,8.1,1.5070216763895246e-69,-27.222528989508564,-30.210095787995648,-24.234962191021477,27.222528989508564,True,benefit | dbp <= ; hemoglobin <= ; mbp >,1.0
R171-261-426,dbp_median > q0.65 (72) AND hemoglobin_slope <= q0.35 (-0.006063) AND potassium_std <= q0.20 (0),3,"dbp_median,hemoglobin_slope,potassium_std","perfusion,anemia,other",3,1043,0.08241801659423154,0.1850431447746884,0.5186960690316395,-0.33365292425695103,-0.37205807691290316,-0.2952477716009989,5.098754130902902e-65,124.99570170941611,8.072387344199425,7.9,1.5730198914487678e-63,-33.3652924256951,-37.20580769129032,-29.52477716009989,33.3652924256951,True,benefit | dbp > ; hemoglobin <= ; potassium <=,1.0
R157-261-408,dbp_delta <= q0.35 (-8.606) AND hemoglobin_slope <= q0.35 (-0.006063) AND platelets_slope <= q0.35 (-0.07924),3,"dbp_delta,hemoglobin_slope,platelets_slope","perfusion,anemia,organ_failure",3,1908,0.15077044646384827,0.22955974842767296,0.4758909853249476,-0.24633123689727465,-0.2756276725617846,-0.21703480123276472,5.0970642702372154e-61,124.81496577470877,8.28883647798742,8.1,1.044628012981479e-59,-24.633123689727466,-27.56276725617846,-21.70348012327647,24.633123689727466,True,benefit | dbp <= ; hemoglobin <= ; platelets <=,1.0
R157-408-427,dbp_delta <= q0.35 (-8.606) AND platelets_slope <= q0.35 (-0.07924) AND potassium_std <= q0.35 (0.04242),3,"dbp_delta,platelets_slope,potassium_std","perfusion,organ_failure,other",3,1143,0.09032003160806006,0.17672790901137359,0.49343832020997375,-0.31671041119860016,-0.3531673247966528,-0.2802534976005475,5.177916184590186e-65,124.20624847800482,8.473228346456693,8.0,1.588990151884819e-63,-31.671041119860018,-35.31673247966528,-28.025349760054752,31.671041119860018,True,benefit | dbp <= ; platelets <= ; potassium <=,1.0
R167-261-352,dbp_mean > q0.65 (70.6) AND hemoglobin_slope <= q0.35 (-0.006063) AND mbp_median > q0.65 (89),3,"dbp_mean,hemoglobin_slope,mbp_median","perfusion,anemia,perfusion",2,1801,0.14231529039905175,0.21710161021654636,0.4880621876735147,-0.27096057745696833,-0.3008855578946979,-0.24103559701923877,1.8136699370517592e-70,124.19002687911546,8.322876179900055,8.1,9.65072076596349e-69,-27.096057745696832,-30.08855578946979,-24.103559701923878,27.096057745696832,True,benefit | dbp > ; hemoglobin <= ; mbp >,1.0
R233-352-408,heart_rate_median <= q0.35 (70) AND mbp_median > q0.65 (89) AND platelets_slope <= q0.35 (-0.07924),3,"heart_rate_median,mbp_median,platelets_slope","perfusion,perfusion,organ_failure",2,1826,0.1442907941525089,0.20755750273822562,0.4759036144578313,-0.26834611171960565,-0.2978549215018151,-0.23883730193739622,4.621042511410404e-71,123.84242540736052,8.683734939759036,8.25,2.707277430927307e-69,-26.834611171960564,-29.785492150181508,-23.883730193739623,26.834611171960564,True,benefit | heart_rate <= ; mbp > ; platelets <=,1.0
R352-408-426,mbp_median > q0.65 (89) AND platelets_slope <= q0.35 (-0.07924) AND potassium_std <= q0.20 (0),3,"mbp_median,platelets_slope,potassium_std","perfusion,organ_failure,other",3,1056,0.08344527854602923,0.17992424242424243,0.5056818181818182,-0.3257575757575758,-0.3637855491630684,-0.2877296023520832,2.8946304851772046e-63,122.79607140098233,8.478030303030302,8.0,7.331378521409513e-62,-32.57575757575758,-36.37855491630684,-28.772960235208323,32.57575757575758,True,benefit | mbp > ; platelets <= ; potassium <=,1.0
R167-261-606,dbp_mean > q0.65 (70.6) AND hemoglobin_slope <= q0.35 (-0.006063) AND spo2_std <= q0.35 (0.8245),3,"dbp_mean,hemoglobin_slope,spo2_std","perfusion,anemia,respiratory",3,1263,0.09980244962465429,0.21060965954077593,0.5083135391923991,-0.29770387965162315,-0.3332831589384176,-0.2621246003648287,1.9128903638207586e-60,122.72814184720156,8.247347585114806,8.0,3.625739905281176e-59,-29.770387965162314,-33.32831589384176,-26.21246003648287,29.770387965162314,True,benefit | dbp > ; hemoglobin <= ; spo2 <=,1.0
R171-408-426,dbp_median > q0.65 (72) AND platelets_slope <= q0.35 (-0.07924) AND potassium_std <= q0.20 (0),3,"dbp_median,platelets_slope,potassium_std","perfusion,organ_failure,other",3,1053,0.08320821809561438,0.18233618233618235,0.5071225071225072,-0.32478632478632485,-0.3629411563368578,-0.2866314932357919,1.709016625422237e-62,122.2559232480405,8.456125356125355,8.0,3.933450963273402e-61,-32.478632478632484,-36.29411563368578,-28.66314932357919,32.478632478632484,True,benefit | dbp > ; platelets <= ; potassium <=,1.0
R352-408-606,mbp_median > q0.65 (89) AND platelets_slope <= q0.35 (-0.07924) AND spo2_std <= q0.35 (0.8245),3,"mbp_median,platelets_slope,spo2_std","perfusion,organ_failure,respiratory",3,1274,0.10067167127617542,0.20251177394034536,0.49686028257456827,-0.2943485086342229,-0.32957354691360424,-0.25912347035484157,2.736790700226289e-60,121.87216969301436,8.710910518053376,8.2,5.137018142819572e-59,-29.43485086342229,-32.95735469136042,-25.912347035484157,29.43485086342229,True,benefit | mbp > ; platelets <= ; spo2 <=,1.0
R196-261-536,glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND sbp_std <= q0.35 (8.594),3,"glucose_lab_std,hemoglobin_slope,sbp_std","other,anemia,perfusion",3,1097,0.08668510470169893,0.19143117593436645,0.5068368277119416,-0.3154056517775752,-0.35305348944256554,-0.2777578141125848,1.3651192609675833e-60,121.17995146930829,7.992889699179582,7.8,2.6304623633262403e-59,-31.540565177757518,-35.30534894425655,-27.77578141125848,31.540565177757518,True,benefit | glucose_lab <= ; hemoglobin <= ; sbp <=,1.0
R195-408-536,glucose_lab_std <= q0.20 (0) AND platelets_slope <= q0.35 (-0.07924) AND sbp_std <= q0.35 (8.594),3,"glucose_lab_std,platelets_slope,sbp_std","other,organ_failure,perfusion",3,1111,0.08779138680363492,0.18721872187218722,0.5004500450045004,-0.31323132313231317,-0.35052220202036266,-0.27594044424426367,6.725411056010489e-61,121.11005565417781,8.373357335733573,7.9,1.3497364749086795e-59,-31.323132313231316,-35.05222020203627,-27.594044424426368,31.323132313231316,True,benefit | glucose_lab <= ; platelets <= ; sbp <=,1.0
R195-408-606,glucose_lab_std <= q0.20 (0) AND platelets_slope <= q0.35 (-0.07924) AND spo2_std <= q0.35 (0.8245),3,"glucose_lab_std,platelets_slope,spo2_std","other,organ_failure,respiratory",3,1051,0.08305017779533781,0.18363463368220742,0.50523311132255,-0.32159847764034255,-0.35983008695086804,-0.28336686832981706,4.5332064077731063e-61,120.94093768916362,8.383444338725024,8.0,9.45776876441871e-60,-32.159847764034254,-35.9830086950868,-28.336686832981705,32.159847764034254,True,benefit | glucose_lab <= ; platelets <= ; spo2 <=,1.0
R171-284-408,dbp_median > q0.65 (72) AND lactate_slope > q0.65 (0.0002952) AND platelets_slope <= q0.35 (-0.07924),3,"dbp_median,lactate_slope,platelets_slope","perfusion,perfusion,organ_failure",2,1730,0.1367048597392335,0.21098265895953758,0.4797687861271676,-0.26878612716763006,-0.2991817349827712,-0.23839051935248895,2.6914398443958606e-67,120.74069094910402,8.612254335260117,8.2,1.0136591621750643e-65,-26.878612716763005,-29.918173498277117,-23.839051935248897,26.878612716763005,True,benefit | dbp > ; lactate > ; platelets <=,1.0
R196-284-606,glucose_lab_std <= q0.35 (0) AND lactate_slope > q0.65 (0.0002952) AND spo2_std <= q0.35 (0.8245),3,"glucose_lab_std,lactate_slope,spo2_std","other,perfusion,respiratory",3,1212,0.09577242196760175,0.2037953795379538,0.5024752475247525,-0.2986798679867987,-0.334828229803998,-0.26253150616959936,5.494866483591283e-59,120.61886842091461,9.250577557755776,8.3,8.801509754527994e-58,-29.86798679867987,-33.4828229803998,-26.253150616959935,29.86798679867987,True,benefit | glucose_lab <= ; lactate > ; spo2 <=,1.0
